transaction_id,order_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,total_amount,payment_type,sales_channel
26,2401,1677,19,2024-05-20,2,252.91,0.0,505.82,Card,store
27,12037,1111,38,2024-03-15,1,459.72,0.07,427.54,Card,marketplace
28,1737,1382,50,2022-08-03,1,171.17,0.07,159.19,E-Wallet,store
29,9555,683,12,2024-04-16,2,226.44,0.12,398.53,E-Wallet,marketplace
30,1152,727,43,2024-01-01,1,390.27,0.12,343.44,Bank Transfer,marketplace
31,3874,2487,30,2023-08-15,1,81.02,0.0,81.02,Bank Transfer,partner
32,,1613,47,2023-08-19,1,305.54,0.12,268.88,Cash,store
33,1243,2492,33,2022-07-26,1,640.45,0.0,640.45,Cash,online
34,14660,1408,4,2024-07-01,1,587.39,0.03,569.77,Bank Transfer,partner
35,2417,680,30,2022-03-26,1,85.05,0.0,85.05,Cash,online
36,,419,46,2024-07-27,1,227.19,0.0,227.19,Cash,online
37,10061,1618,39,2024-09-19,3,480.76,0.03,1399.01,E-Wallet,marketplace
38,7821,746,6,2024-07-27,1,683.25,0.11,608.09,Cash,online
39,6014,1468,45,2023-02-10,2,200.3,0.0,400.6,Bank Transfer,partner
40,8437,758,39,2023-07-14,1,454.68,0.07,422.85,Bank Transfer,marketplace
41,2003,1835,42,2023-02-08,3,125.14,0.14,322.86,Card,online
42,11903,2916,5,2023-03-16,1,547.45,0.03,531.03,Card,online
43,2961,1868,13,2023-09-20,2,330.17,0.08,607.51,Bank Transfer,partner
44,7005,663,25,2024-02-06,1,541.61,0.07,503.7,Bank Transfer,online
45,6923,493,49,2024-03-03,1,173.98,0.01,172.24,Cash,store
46,13656,2664,40,2022-11-08,1,491.29,0.0,491.29,Bank Transfer,online
47,12557,1518,35,2023-03-20,3,409.78,0.0,1229.34,Card,partner
48,2293,2246,42,2022-04-11,1,119.85,0.06,112.66,Card,partner
49,,679,35,2023-04-21,1,401.36,0.14,345.17,Bank Transfer,marketplace
50,5364,1866,34,2023-04-08,1,297.09,0.0,297.09,E-Wallet,online
51,3219,1933,8,2023-06-09,1,671.55,0.04,644.69,E-Wallet,partner
52,2864,2833,4,2022-02-01,2,613.12,0.1,1103.62,Bank Transfer,store
53,7161,1038,8,2023-09-18,1,654.22,0.1,588.8,E-Wallet,online
54,13584,1291,22,2024-03-19,1,148.63,0.0,148.63,Bank Transfer,partner
55,6234,2310,25,2024-09-18,3,574.45,0.0,1723.35,Card,store
56,,1581,46,2024-05-04,1,227.19,0.03,220.37,Bank Transfer,marketplace
57,1066,2958,27,2022-07-30,1,397.38,0.0,397.38,Card,store
58,9881,262,20,2023-03-09,1,399.53,0.0,399.53,Card,marketplace
59,7783,1598,35,2022-05-08,1,436.22,0.0,436.22,Card,online
60,4598,2349,3,2024-10-05,3,592.65,0.0,1777.95,Cash,marketplace
61,7767,219,25,2022-08-26,2,549.09,0.05,1043.27,Card,online
62,2563,1467,32,2022-05-06,1,245.99,0.04,236.15,E-Wallet,store
63,4092,2477,11,2024-10-08,1,399.79,0.07,371.8,Card,partner
64,14520,1103,15,2023-10-09,1,331.85,0.08,305.3,Bank Transfer,partner
65,12238,664,6,2022-06-26,2,678.59,0.02,1330.04,Cash,online
66,11965,1421,12,2023-03-22,1,218.9,0.0,218.9,Card,marketplace
67,4765,2525,2,2023-12-25,1,612.49,0.04,587.99,Card,store
68,4147,1861,30,2023-03-31,1,91.53,0.0,91.53,Cash,store
69,12796,1510,45,2024-02-29,2,201.28,0.03,390.48,Cash,store
70,,25,19,2022-12-11,2,244.19,0.16,410.24,E-Wallet,online
71,14306,1051,33,2022-02-23,3,580.73,0.14,1498.28,Cash,store
72,5046,1668,16,2022-06-11,1,538.55,0.08,495.47,Bank Transfer,store
73,60,1328,48,2023-11-01,1,474.81,0.03,460.57,Cash,store
74,,2259,1,2022-02-17,1,326.97,0.0,326.97,E-Wallet,partner
75,,2633,27,2024-01-12,1,370.8,0.12,326.3,Bank Transfer,partner
76,10680,1057,32,2022-01-04,1,237.19,0.02,232.45,E-Wallet,online
77,1036,1761,19,2024-05-15,1,232.62,0.0,232.62,E-Wallet,marketplace
78,12841,492,38,2022-01-23,1,418.66,0.07,389.35,Card,online
79,10622,1769,23,2023-04-16,1,422.58,0.0,422.58,Card,store
80,10542,956,25,2022-12-18,2,544.71,0.0,1089.42,Bank Transfer,online
81,697,1099,21,2023-04-05,1,656.17,0.0,656.17,Cash,marketplace
82,,2884,14,2022-08-30,1,352.09,0.0,352.09,E-Wallet,partner
83,13798,1294,46,2024-08-09,1,239.63,0.1,215.67,Cash,marketplace
84,3316,1520,17,2023-08-22,2,106.23,0.0,212.46,E-Wallet,partner
85,5455,2804,45,2024-02-12,1,198.93,0.0,198.93,Card,marketplace
86,14709,1917,7,2022-04-17,1,461.11,0.08,424.22,Cash,marketplace
87,,1380,12,2024-06-06,1,206.62,0.06,194.22,Card,partner
88,9033,174,14,2024-05-19,1,368.72,0.04,353.97,Card,store
89,7207,75,42,2023-03-21,1,123.57,0.03,119.86,Cash,online
90,,2483,1,2024-08-09,1,326.97,0.0,326.97,Cash,store
91,5552,362,46,2022-04-08,2,246.72,0.06,463.83,Card,store
92,5902,557,38,2024-08-26,1,462.93,0.05,439.78,Bank Transfer,partner
93,13296,2558,29,2024-06-01,1,20.73,0.05,19.69,Bank Transfer,store
94,6693,17,33,2023-04-09,1,598.03,0.0,598.03,Bank Transfer,partner
95,13817,219,24,2022-11-17,3,509.36,0.0,1528.08,Cash,marketplace
96,9655,60,23,2022-09-03,1,484.2,0.03,469.67,Cash,marketplace
97,8381,685,13,2024-04-05,1,338.52,0.01,335.13,Bank Transfer,online
98,6600,2748,42,2022-09-07,3,110.06,0.0,330.18,E-Wallet,store
99,11933,2655,4,2023-06-06,1,568.96,0.0,568.96,Card,marketplace
100,11267,999,19,2024-09-28,3,249.96,0.05,712.39,Card,marketplace
101,759,356,46,2022-08-09,1,223.97,0.07,208.29,E-Wallet,online
102,7204,1592,34,2023-03-02,1,305.69,0.01,302.63,E-Wallet,marketplace
103,2785,2445,30,2023-06-21,2,83.36,0.0,166.72,Cash,marketplace
104,1892,137,42,2023-12-24,1,116.28,0.12,102.33,E-Wallet,store
105,14325,1044,11,2024-07-18,1,413.92,0.09,376.67,Bank Transfer,partner
106,13656,2664,40,2023-09-17,1,491.29,0.0,491.29,Cash,store
107,9405,2432,38,2024-09-17,1,445.88,0.07,414.67,E-Wallet,marketplace
108,,1621,14,2024-09-17,2,352.09,0.14,605.59,E-Wallet,online
109,4949,1423,7,2022-01-20,1,470.51,0.03,456.39,Bank Transfer,online
110,7941,246,26,2023-09-29,1,131.48,0.04,126.22,Bank Transfer,partner
111,6251,634,26,2023-07-21,1,132.39,0.0,132.39,Cash,partner
112,5485,2749,20,2022-03-09,1,389.69,0.0,389.69,Cash,store
113,4150,160,10,2023-12-02,1,34.57,0.0,34.57,Card,store
114,1202,2346,7,2022-03-21,2,454.56,0.07,845.48,Bank Transfer,partner
115,13266,2523,13,2023-06-10,1,309.88,0.0,309.88,E-Wallet,store
116,7195,1413,39,2024-09-01,1,456.26,0.0,456.26,Bank Transfer,online
117,5839,2520,31,2024-09-14,1,167.11,0.0,167.11,Bank Transfer,marketplace
118,10047,192,43,2022-03-17,3,375.39,0.0,1126.17,Cash,online
119,10767,763,34,2024-04-20,1,301.01,0.11,267.9,E-Wallet,partner
120,,1385,5,2023-08-22,1,574.93,0.0,574.93,E-Wallet,marketplace
121,5560,849,48,2023-06-23,1,426.62,0.0,426.62,Bank Transfer,store
122,3076,966,35,2022-06-28,1,425.67,0.0,425.67,Cash,marketplace
123,9685,2433,16,2023-09-17,2,516.33,0.02,1012.01,E-Wallet,store
124,1241,1371,18,2023-10-12,2,624.87,0.04,1199.75,Cash,store
125,,930,38,2024-07-19,1,432.36,0.02,423.71,E-Wallet,online
126,6038,1069,22,2024-05-24,1,158.86,0.0,158.86,Cash,marketplace
127,10638,2310,16,2024-05-01,1,554.16,0.03,537.54,E-Wallet,online
128,13485,560,7,2022-01-16,2,453.92,0.05,862.45,Bank Transfer,marketplace
129,5098,2936,26,2022-12-06,1,134.38,0.0,134.38,Card,store
130,8451,1659,2,2024-09-11,3,614.36,0.0,1843.08,Card,marketplace
131,13829,2793,22,2022-09-13,2,158.43,0.1,285.17,E-Wallet,marketplace
132,,2526,20,2023-02-17,1,375.97,0.12,330.85,Card,partner
133,1621,1411,45,2023-06-12,1,189.78,0.0,189.78,Cash,partner
134,6566,2768,27,2024-09-29,1,388.94,0.08,357.82,Bank Transfer,online
135,5674,412,24,2023-11-10,2,562.95,0.02,1103.38,Card,partner
136,9808,1286,20,2024-02-12,1,411.06,0.09,374.06,Card,marketplace
137,6037,1257,43,2022-04-06,1,391.3,0.02,383.47,Bank Transfer,marketplace
138,13264,1101,9,2022-07-28,1,442.03,0.2,353.62,Bank Transfer,store
139,2541,1648,47,2022-04-05,1,296.39,0.14,254.9,E-Wallet,store
140,816,1888,46,2022-06-08,1,242.96,0.05,230.81,E-Wallet,online
141,6579,1473,7,2022-06-05,1,436.33,0.12,383.97,Cash,store
142,3674,298,39,2023-06-17,1,425.9,0.15,362.01,Cash,online
143,13427,1295,42,2024-04-09,1,109.66,0.0,109.66,Card,marketplace
144,12928,2091,12,2023-10-07,2,201.94,0.02,395.8,E-Wallet,marketplace
145,9714,2824,9,2023-05-07,1,414.38,0.01,410.24,Cash,online
146,5057,1287,10,2022-10-03,1,35.41,0.03,34.35,Cash,partner
147,,1273,1,2022-01-04,2,326.97,0.0,653.94,Card,marketplace
148,1163,633,48,2023-02-09,3,465.92,0.0,1397.76,Card,online
149,1587,1687,27,2022-01-31,2,391.53,0.11,696.92,Cash,store
150,9012,460,18,2024-05-28,1,628.71,0.0,628.71,Cash,marketplace
151,9741,466,13,2022-08-12,1,305.07,0.04,292.87,Cash,online
152,11698,17,30,2023-12-22,3,83.22,0.0,249.66,Card,online
153,14402,2054,28,2023-12-08,2,162.79,0.06,306.05,Card,marketplace
154,11810,2823,29,2022-01-22,1,23.12,0.0,23.12,Bank Transfer,marketplace
155,13084,459,39,2022-07-23,2,481.19,0.0,962.38,Cash,marketplace
156,8031,2588,39,2023-09-09,3,453.92,0.03,1320.91,Bank Transfer,partner
157,8746,2452,32,2023-08-24,1,224.04,0.0,224.04,Bank Transfer,partner
158,,1851,31,2022-05-26,1,164.72,0.05,156.48,Bank Transfer,online
159,867,2304,39,2022-05-31,1,463.91,0.09,422.16,Card,store
160,6950,2073,7,2022-04-16,1,460.51,0.0,460.51,Card,partner
161,1446,160,28,2023-11-29,1,171.12,0.04,164.28,Cash,partner
162,3730,709,39,2022-05-24,3,416.8,0.1,1125.36,Bank Transfer,marketplace
163,10505,819,34,2022-08-26,1,295.58,0.0,295.58,Bank Transfer,online
164,9630,2758,19,2023-05-05,1,254.56,0.0,254.56,Cash,store
165,,124,37,2023-10-05,1,633.81,0.03,614.8,E-Wallet,online
166,12663,2503,18,2023-05-10,2,609.87,0.07,1134.36,Bank Transfer,marketplace
167,11462,1964,46,2022-01-18,1,222.77,0.01,220.54,Cash,store
168,7205,783,4,2022-10-08,2,569.92,0.02,1117.04,Card,partner
169,12376,1724,27,2023-11-08,1,356.48,0.0,356.48,Cash,partner
170,3551,2610,26,2024-08-25,1,124.77,0.03,121.03,Card,online
171,10026,1234,49,2024-04-12,2,180.57,0.0,361.14,Cash,store
172,2749,1568,15,2024-01-22,1,314.85,0.1,283.37,Bank Transfer,online
173,6869,487,12,2022-06-19,1,213.57,0.1,192.21,Card,store
174,335,1290,37,2022-11-26,1,673.82,0.03,653.61,Card,online
175,5257,8,9,2023-08-17,1,440.35,0.0,440.35,Card,online
176,8174,484,36,2024-07-01,1,169.09,0.15,143.73,Card,online
177,12667,1144,50,2024-02-26,3,152.45,0.0,457.35,Card,online
178,5363,791,28,2023-08-03,2,166.25,0.05,315.88,Cash,store
179,9151,2595,4,2022-07-16,2,570.63,0.01,1129.85,Card,partner
180,5153,2946,23,2024-07-27,3,445.79,0.0,1337.37,Bank Transfer,marketplace
181,14177,2502,17,2022-01-20,2,111.79,0.06,210.17,Cash,marketplace
182,,1584,35,2022-07-23,1,401.36,0.0,401.36,E-Wallet,online
183,2278,815,45,2022-01-29,1,179.29,0.0,179.29,Bank Transfer,marketplace
184,2711,2765,13,2022-05-08,2,318.43,0.13,554.07,E-Wallet,marketplace
185,2020,1019,35,2022-06-26,1,415.79,0.02,407.47,E-Wallet,store
186,1700,2699,47,2023-02-04,2,317.06,0.05,602.41,E-Wallet,marketplace
187,4796,329,43,2023-10-13,2,376.64,0.1,677.95,Card,marketplace
188,14841,247,48,2022-04-29,1,439.06,0.12,386.37,Cash,marketplace
189,8306,2814,36,2022-11-06,1,155.78,0.04,149.55,Cash,store
190,3977,331,15,2023-06-04,1,339.34,0.0,339.34,E-Wallet,store
191,,1981,4,2023-09-17,1,581.35,0.0,581.35,Card,store
192,3935,2043,38,2024-08-27,1,458.46,0.08,421.78,E-Wallet,marketplace
193,7449,28,24,2022-05-12,1,516.49,0.1,464.84,E-Wallet,online
194,395,162,34,2022-03-25,2,279.0,0.11,496.62,Card,marketplace
195,14813,2557,19,2023-09-19,1,263.72,0.0,263.72,E-Wallet,store
196,2052,2164,9,2022-07-26,1,416.07,0.0,416.07,Cash,partner
197,,2489,50,2024-02-28,1,156.47,0.0,156.47,Cash,online
198,9283,1874,45,2024-01-10,2,191.37,0.01,378.91,E-Wallet,partner
199,2822,1201,15,2024-06-11,1,308.62,0.0,308.62,Bank Transfer,online
200,6567,2047,30,2023-02-20,2,81.44,0.1,146.59,Card,partner
201,11729,2555,19,2022-12-26,1,242.65,0.01,240.22,Cash,marketplace
202,3822,984,41,2023-03-07,1,448.07,0.14,385.34,E-Wallet,online
203,4596,2902,2,2022-12-13,1,631.55,0.01,625.23,Cash,marketplace
204,4858,701,46,2023-10-27,1,226.94,0.13,197.44,Cash,online
205,4212,946,16,2022-07-12,1,543.89,0.0,543.89,E-Wallet,online
206,4578,2735,49,2022-04-02,1,168.1,0.12,147.93,E-Wallet,marketplace
207,,2172,29,2022-12-12,1,21.38,0.08,19.67,Card,online
208,11909,22,34,2024-03-01,2,305.31,0.05,580.09,Cash,online
209,13050,161,28,2024-05-11,1,178.48,0.03,173.13,E-Wallet,store
210,4080,988,15,2024-09-05,1,325.21,0.09,295.94,Bank Transfer,store
211,14566,2234,2,2023-07-29,1,613.78,0.0,613.78,E-Wallet,marketplace
212,1816,474,5,2022-01-31,1,559.75,0.15,475.79,E-Wallet,online
213,5522,1321,5,2022-07-09,3,586.39,0.0,1759.17,E-Wallet,store
214,169,1040,40,2022-07-11,2,497.92,0.07,926.13,E-Wallet,marketplace
215,6251,634,26,2023-03-06,1,132.39,0.12,116.5,Cash,store
216,,35,32,2023-05-11,1,227.17,0.0,227.17,E-Wallet,partner
217,,2861,44,2023-07-22,2,369.88,0.07,687.98,E-Wallet,partner
218,10827,2560,24,2024-04-04,1,528.51,0.06,496.8,Bank Transfer,marketplace
219,,67,33,2022-11-12,1,599.35,0.06,563.39,Cash,store
220,4502,2478,18,2023-07-15,2,612.47,0.0,1224.94,Bank Transfer,store
221,,187,32,2023-12-19,3,227.17,0.05,647.43,Cash,marketplace
222,9154,2663,36,2022-10-11,3,167.47,0.09,457.19,Card,online
223,12797,874,15,2023-09-06,1,312.5,0.0,312.5,Card,online
224,3330,463,3,2024-09-09,1,607.47,0.0,607.47,E-Wallet,store
225,6079,1708,12,2022-07-24,3,205.89,0.04,592.96,E-Wallet,online
226,,2165,41,2022-01-31,1,444.67,0.0,444.67,Bank Transfer,store
227,4566,2744,17,2024-04-02,1,115.98,0.07,107.86,Bank Transfer,partner
228,3719,1691,34,2024-10-19,1,313.9,0.0,313.9,Cash,marketplace
229,3161,2547,20,2022-02-23,2,394.26,0.01,780.63,Card,marketplace
230,,2806,24,2022-04-25,1,516.69,0.0,516.69,Cash,store
231,10766,1347,30,2023-08-01,2,89.17,0.0,178.34,Cash,partner
232,9404,260,37,2022-09-06,2,690.74,0.03,1340.04,Card,online
233,12837,201,20,2022-09-04,1,395.12,0.13,343.75,Bank Transfer,partner
234,11294,873,36,2022-02-13,1,170.09,0.08,156.48,E-Wallet,store
235,12913,1476,8,2023-07-23,1,623.34,0.0,623.34,Card,online
236,8607,2450,40,2023-06-04,3,533.48,0.01,1584.44,E-Wallet,store
237,11281,850,14,2022-09-16,1,386.05,0.03,374.47,Cash,partner
238,5644,1637,47,2024-07-02,1,293.37,0.08,269.9,E-Wallet,online
239,9903,1142,43,2024-08-04,1,368.21,0.0,368.21,Bank Transfer,online
240,180,1203,7,2023-01-10,1,481.11,0.0,481.11,Cash,online
241,8234,2664,45,2023-07-25,3,179.07,0.05,510.35,Cash,partner
242,13371,2584,1,2023-01-18,1,324.22,0.02,317.74,Card,online
243,3215,818,11,2024-03-03,1,399.98,0.08,367.98,E-Wallet,online
244,4230,719,40,2024-03-11,2,481.14,0.0,962.28,E-Wallet,store
245,8834,1950,50,2023-11-10,1,152.64,0.0,152.64,Bank Transfer,store
246,3452,451,50,2023-12-26,1,156.75,0.15,133.24,E-Wallet,partner
247,8685,2492,38,2022-10-15,1,428.49,0.09,389.93,Card,marketplace
248,9474,2531,44,2023-06-30,1,373.94,0.04,358.98,Bank Transfer,store
249,7588,2022,11,2022-09-29,1,437.25,0.14,376.03,Cash,marketplace
250,,1767,28,2024-05-21,1,164.56,0.15,139.88,Bank Transfer,partner
251,9247,1924,43,2023-10-03,1,349.96,0.11,311.46,E-Wallet,marketplace
252,14969,2976,28,2023-05-14,1,165.47,0.0,165.47,Cash,online
253,3664,531,30,2022-09-24,1,87.1,0.1,78.39,Bank Transfer,store
254,3908,890,20,2024-09-19,2,375.17,0.15,637.79,Bank Transfer,partner
255,12731,2130,40,2022-05-10,1,512.5,0.0,512.5,Cash,online
256,9704,2612,37,2023-03-28,3,625.45,0.06,1763.77,Card,store
257,,477,46,2022-08-18,1,227.19,0.02,222.65,Card,marketplace
258,3848,2912,49,2022-07-04,1,185.24,0.04,177.83,Bank Transfer,partner
259,12214,2913,36,2023-02-13,3,156.38,0.0,469.14,Card,online
260,9583,1766,21,2024-09-27,1,678.79,0.03,658.43,Card,partner
261,3368,68,21,2022-11-09,3,661.12,0.09,1804.86,Card,marketplace
262,4115,1177,4,2022-03-08,2,608.09,0.0,1216.18,Bank Transfer,partner
263,14446,2632,5,2024-09-17,1,568.09,0.09,516.96,Cash,partner
264,8971,337,22,2024-01-14,3,146.84,0.13,383.25,E-Wallet,online
265,3286,218,11,2023-05-20,1,435.33,0.17,361.32,Bank Transfer,online
266,13389,1214,2,2022-07-05,3,585.8,0.07,1634.38,Card,online
267,14358,180,18,2024-09-27,1,641.1,0.0,641.1,Cash,marketplace
268,12519,1791,15,2023-02-13,1,309.76,0.0,309.76,Cash,store
269,,25,45,2022-12-20,1,184.42,0.16,154.91,Bank Transfer,partner
270,,2602,27,2024-06-06,1,370.8,0.0,370.8,Card,store
271,3327,1256,46,2024-03-27,3,222.92,0.18,548.38,E-Wallet,partner
272,10140,502,14,2022-01-28,1,370.2,0.02,362.8,E-Wallet,store
273,2287,1799,30,2022-05-21,3,89.32,0.02,262.6,Bank Transfer,store
274,,1517,35,2024-05-31,3,401.36,0.19,975.3,Bank Transfer,store
275,6727,1719,28,2023-10-23,3,178.94,0.0,536.82,Card,online
276,,1461,40,2022-06-25,1,501.52,0.1,451.37,Card,partner
277,10982,789,15,2024-01-07,1,330.33,0.08,303.9,Cash,partner
278,10691,538,27,2023-03-19,3,355.38,0.08,980.85,Card,marketplace
279,5775,655,46,2023-07-21,1,233.11,0.0,233.11,Card,online
280,10528,2106,43,2023-05-27,1,347.12,0.08,319.35,E-Wallet,partner
281,349,1246,47,2023-09-16,1,293.58,0.0,293.58,E-Wallet,store
282,2642,229,28,2022-02-19,1,168.65,0.0,168.65,Bank Transfer,store
283,14730,1354,39,2022-04-18,3,464.25,0.03,1350.97,E-Wallet,partner
284,,1083,45,2022-07-02,1,184.42,0.02,180.73,Bank Transfer,store
285,13189,47,32,2022-02-06,1,235.42,0.01,233.07,Bank Transfer,store
286,7018,916,30,2023-01-04,3,85.28,0.07,237.93,Bank Transfer,store
287,11691,921,10,2024-03-20,2,36.37,0.0,72.74,Card,partner
288,3857,45,46,2023-10-10,1,239.96,0.02,235.16,Card,marketplace
289,,1926,48,2023-01-16,1,439.76,0.06,413.37,E-Wallet,online
290,13830,1176,33,2022-11-24,1,608.17,0.03,589.92,Bank Transfer,partner
291,14366,2302,4,2022-04-26,1,571.68,0.05,543.1,Bank Transfer,partner
292,893,1653,43,2024-10-29,1,386.74,0.11,344.2,Bank Transfer,marketplace
293,13217,2614,3,2022-03-19,1,587.18,0.0,587.18,Cash,partner
294,6703,866,39,2022-05-06,1,459.5,0.14,395.17,Cash,store
295,1868,2346,9,2022-08-28,1,467.45,0.05,444.08,Cash,store
296,5758,2108,19,2022-09-17,1,237.43,0.0,237.43,Cash,marketplace
297,8155,1479,41,2023-04-05,2,440.0,0.0,880.0,Card,marketplace
298,8598,2331,46,2022-05-10,1,231.43,0.0,231.43,E-Wallet,online
299,10542,956,25,2022-03-06,2,544.71,0.04,1045.84,Cash,store
300,,671,49,2023-02-15,2,170.48,0.16,286.41,Card,partner
301,8897,3000,6,2022-10-23,2,655.17,0.0,1310.34,Card,marketplace
302,6089,1489,19,2022-06-01,1,236.56,0.0,236.56,Card,marketplace
303,12103,2712,44,2023-03-16,1,406.22,0.01,402.16,Card,marketplace
304,,2487,2,2022-08-01,1,598.36,0.07,556.47,E-Wallet,online
305,9556,539,46,2022-12-23,1,246.36,0.0,246.36,Card,store
306,12162,146,18,2024-08-14,1,583.32,0.0,583.32,Bank Transfer,online
307,7118,257,49,2023-10-25,1,176.42,0.09,160.54,E-Wallet,marketplace
308,5697,2596,49,2023-10-18,1,175.04,0.0,175.04,Cash,marketplace
309,,1590,17,2023-01-12,3,107.12,0.0,321.36,E-Wallet,store
310,8327,2333,35,2022-08-21,1,389.12,0.0,389.12,Card,online
311,1303,1942,17,2022-06-04,2,102.21,0.0,204.42,Cash,partner
312,6946,2747,44,2024-01-18,2,380.62,0.04,730.79,Card,online
313,6885,1436,43,2022-11-08,1,360.5,0.04,346.08,Cash,partner
314,9439,128,26,2023-01-19,1,136.69,0.11,121.65,Cash,partner
315,10180,2417,32,2023-10-20,3,242.41,0.0,727.23,Bank Transfer,partner
316,14616,171,5,2023-12-17,1,546.76,0.05,519.42,Bank Transfer,store
317,1828,2303,44,2022-05-12,2,355.67,0.06,668.66,Card,partner
318,6556,2964,41,2024-05-01,1,443.2,0.08,407.74,Card,marketplace
319,7594,1170,1,2022-07-20,1,357.49,0.0,357.49,Cash,online
320,7759,2675,5,2024-08-19,1,570.94,0.09,519.56,Bank Transfer,online
321,8960,1221,39,2023-04-08,1,462.94,0.01,458.31,E-Wallet,store
322,9433,2329,6,2022-08-17,1,668.81,0.0,668.81,E-Wallet,partner
323,,1383,41,2023-06-13,1,444.67,0.0,444.67,E-Wallet,online
324,3553,1466,44,2023-05-26,1,372.08,0.0,372.08,Cash,store
325,,1181,36,2023-10-28,1,156.11,0.07,145.18,E-Wallet,store
326,11248,1959,29,2023-05-23,1,22.56,0.14,19.4,Bank Transfer,partner
327,4162,1226,15,2022-12-03,3,312.23,0.13,814.92,Bank Transfer,store
328,2085,1387,22,2023-10-19,1,142.16,0.01,140.74,Cash,partner
329,4625,288,32,2023-10-07,1,235.75,0.1,212.18,Cash,store
330,2007,1096,7,2022-11-17,3,464.89,0.0,1394.67,E-Wallet,online
331,430,363,27,2023-12-23,2,397.14,0.02,778.39,Cash,partner
332,1115,1284,22,2024-08-22,1,155.2,0.03,150.54,Cash,online
333,11109,1156,13,2024-01-24,1,327.11,0.08,300.94,Bank Transfer,partner
334,711,1822,45,2022-01-10,1,176.59,0.05,167.76,E-Wallet,marketplace
335,,388,22,2024-08-17,3,148.91,0.0,446.73,Card,partner
336,8114,1139,41,2024-04-05,3,476.61,0.0,1429.83,Card,marketplace
337,,2847,19,2023-10-13,1,244.19,0.01,241.75,Card,online
338,1237,131,24,2022-01-27,1,528.84,0.03,512.97,Bank Transfer,online
339,3555,622,11,2022-04-06,2,449.9,0.06,845.81,Cash,marketplace
340,6148,810,13,2022-01-12,1,308.67,0.16,259.28,Card,store
341,10736,2681,42,2023-06-02,1,126.26,0.02,123.73,Card,marketplace
342,7592,861,49,2023-11-02,1,183.46,0.0,183.46,Cash,store
343,8949,1092,32,2022-12-08,1,239.98,0.02,235.18,Cash,marketplace
344,6566,2768,27,2022-07-30,1,388.94,0.04,373.38,Bank Transfer,partner
345,12963,2684,44,2022-09-15,1,372.26,0.07,346.2,Cash,marketplace
346,6077,599,41,2022-03-18,1,473.85,0.09,431.2,Card,store
347,3299,2510,15,2023-05-29,1,323.4,0.0,323.4,E-Wallet,partner
348,10232,1904,20,2022-02-10,1,384.41,0.0,384.41,Card,marketplace
349,6306,672,23,2022-04-04,1,445.85,0.0,445.85,Card,marketplace
350,9913,2325,4,2024-06-01,1,601.53,0.16,505.29,E-Wallet,store
351,2430,1358,9,2024-07-02,1,405.09,0.0,405.09,Card,marketplace
352,,317,25,2024-07-12,3,555.08,0.09,1515.37,Bank Transfer,partner
353,130,118,37,2024-09-13,1,664.54,0.0,664.54,Bank Transfer,store
354,13233,1587,9,2023-09-07,1,428.15,0.0,428.15,Cash,partner
355,11485,718,18,2023-01-15,1,621.32,0.03,602.68,Cash,marketplace
356,14239,252,38,2022-08-01,1,427.25,0.04,410.16,Card,store
357,2490,1580,48,2022-03-11,2,437.62,0.07,813.97,Cash,marketplace
