ticket_id,customer_id,subject,priority,status,created_date,resolved_date,assigned_to
37,1053,account issue,low,closed,2022-10-08,2022-11-05,Nor Abdullah
38,248,account issue,low,in progress,2022-01-08,2022-01-26,David Johnson
39,1625,payment issue,urgent,open,2023-01-31,2023-01-31,Jia Xiao
40,2603,delivery delay,low,closed,2022-06-28,2022-07-04,Tao Wong
41,98,refund request,urgent,closed,2024-09-27,2024-10-22,Tao Wong
42,1006,refund request,high,resolved,2023-05-22,2023-06-01,Hafiz Rahman
43,1033,payment issue,low,pending,2023-10-01,2023-10-31,Ahmad Razak
44,213,account issue,urgent,in progress,2022-07-01,2022-07-27,Ahmad Abdullah
45,2692,delivery delay,medium,pending,2023-11-22,2023-12-07,Hua Liang
46,2728,account issue,high,resolved,2022-11-14,,Jia Ming
47,1329,refund request,high,open,2023-09-02,2023-09-02,David Johnson
48,1189,refund request,medium,in progress,2023-08-27,2023-08-29,Tao Chen
49,317,damaged item,medium,resolved,2022-05-01,2022-05-16,Hafiz Rahman
50,2896,delivery delay,high,pending,2022-03-13,2022-03-31,Aminah Razak
51,419,refund request,low,pending,2022-08-26,2022-09-15,Jia Ming
52,1257,account issue,low,pending,2022-02-15,2022-03-16,Arjun Iyer
53,2608,account issue,low,pending,2023-01-17,,Wei Ming
54,1034,refund request,medium,closed,2022-05-27,2022-06-24,Zul Abdullah
55,2751,refund request,medium,in progress,2023-02-25,2023-03-04,Kumar Iyer
56,2416,damaged item,high,in progress,2024-07-30,2024-08-10,David Miller
57,119,damaged item,low,open,2022-09-19,2022-10-16,Chris Davis
58,1248,refund request,medium,open,2022-06-24,2022-07-12,Sarah Davis
59,1050,payment issue,low,in progress,2023-12-13,2024-01-11,Ling Mei
60,2013,delivery delay,high,in progress,2023-11-27,,John Smith
61,2118,delivery delay,low,open,2024-09-27,2024-10-14,David Johnson
62,1990,refund request,medium,open,2024-07-12,,David Johnson
63,22,damaged item,low,resolved,2022-03-14,2022-04-02,Tao Chen
64,994,refund request,low,in progress,2022-10-21,2022-11-05,Wei Ming
65,526,delivery delay,medium,resolved,2022-05-25,,Nor Razak
66,819,delivery delay,urgent,resolved,2022-12-09,2022-12-12,Ling Chen
67,1644,delivery delay,low,closed,2023-09-09,2023-10-07,Aminah Razak
68,966,refund request,high,closed,2023-05-15,,Hafiz Ismail
69,2595,delivery delay,high,pending,2022-09-24,,Arjun Singh
70,1344,delivery delay,low,resolved,2024-02-02,2024-02-25,David Johnson
71,513,damaged item,medium,in progress,2022-09-01,2022-09-13,Ling Mei
72,2298,damaged item,medium,resolved,2023-02-06,2023-02-10,Ahmad Abdullah
73,761,damaged item,urgent,pending,2022-03-29,,Arjun Singh
74,951,delivery delay,low,pending,2022-02-26,2022-02-26,David Johnson
75,307,delivery delay,low,closed,2022-02-22,,Michael Brown
76,2679,refund request,medium,open,2023-09-06,2023-09-12,Laura Brown
77,855,damaged item,low,resolved,2024-07-08,2024-07-19,Hua Chen
78,1739,refund request,low,pending,2022-01-21,,Ahmad Abdullah
79,2512,delivery delay,low,pending,2022-08-15,2022-09-08,Tao Mei
80,2467,refund request,medium,open,2023-10-28,2023-11-12,Arjun Iyer
81,2285,delivery delay,medium,in progress,2023-01-03,,Priya Kaur
82,1339,account issue,medium,closed,2022-08-20,,Jia Li
83,1128,damaged item,medium,pending,2022-05-02,2022-05-24,Swati Nair
84,189,payment issue,low,pending,2023-02-22,,John Smith
85,1404,delivery delay,low,pending,2023-02-18,2023-02-28,Hafiz Razak
86,778,damaged item,medium,closed,2024-08-30,,Ling Chen
87,2484,refund request,medium,pending,2022-04-26,,Ling Xiao
88,2785,damaged item,high,in progress,2023-06-29,2023-06-30,Ravi Singh
89,2564,delivery delay,medium,closed,2022-03-03,2022-03-29,David Johnson
90,2432,refund request,urgent,closed,2023-04-20,2023-05-08,David Johnson
91,2485,delivery delay,low,resolved,2023-09-06,2023-09-23,Michael Brown
92,2639,damaged item,medium,closed,2023-04-28,2023-05-18,Jia Xiao
93,2924,refund request,low,in progress,2022-02-06,,Nor Hassan
94,1865,delivery delay,low,pending,2022-12-31,2023-01-21,Ahmad Rahman
95,818,refund request,urgent,pending,2023-07-31,2023-08-04,Laura Brown
96,2054,delivery delay,medium,resolved,2022-05-02,,Sarah Miller
97,2377,damaged item,medium,in progress,2023-07-19,2023-07-21,Siti Hassan
98,777,refund request,low,open,2024-08-21,2024-09-09,Nor Abdullah
99,2942,refund request,low,in progress,2022-06-14,,Swati Singh
100,1829,refund request,medium,pending,2022-05-14,2022-06-03,Swati Nair
101,1442,account issue,medium,open,2022-01-31,2022-02-05,Sarah Miller
102,1727,payment issue,low,open,2023-08-25,2023-09-22,Michael Brown
103,270,payment issue,medium,resolved,2024-01-14,2024-01-23,Michael Brown
104,1240,damaged item,low,open,2023-07-29,2023-08-06,Chris Davis
105,109,refund request,low,open,2024-03-31,2024-04-08,Tao Mei
106,1022,damaged item,medium,open,2022-12-18,2022-12-23,Nor Razak
107,1756,payment issue,high,pending,2024-07-01,2024-07-18,Siti Hassan
108,1341,damaged item,urgent,resolved,2024-01-08,2024-01-10,Tao Chen
109,6,delivery delay,low,closed,2024-08-01,2024-08-02,Sarah Davis
110,1492,account issue,medium,in progress,2022-12-08,2022-12-30,Wei Ming
111,1219,payment issue,high,closed,2023-11-02,,Hafiz Ismail
112,2227,refund request,urgent,closed,2022-07-21,2022-07-29,Jia Li
113,1710,account issue,medium,resolved,2023-05-14,,Zul Abdullah
114,2310,account issue,medium,in progress,2023-08-18,,Wei Ming
115,818,account issue,medium,resolved,2022-07-27,2022-08-08,Ling Mei
116,2648,refund request,medium,pending,2023-01-03,2023-02-01,Ling Chen
117,820,damaged item,low,open,2024-07-08,2024-07-08,Tao Wong
118,1534,payment issue,medium,open,2024-06-05,,Arjun Singh
119,631,refund request,medium,pending,2024-06-08,,Arjun Singh
120,485,delivery delay,high,closed,2023-08-23,2023-09-02,Tao Chen
121,548,refund request,low,in progress,2023-04-06,2023-04-11,Aminah Razak
122,2062,refund request,low,in progress,2023-05-08,2023-05-31,Tao Ming
123,2474,payment issue,medium,resolved,2022-12-22,2022-12-30,Ling Chen
124,575,damaged item,medium,in progress,2024-02-10,,Laura Brown
125,1301,payment issue,medium,pending,2023-09-07,2023-09-09,Michael Brown
126,1672,damaged item,medium,pending,2023-04-28,,Arjun Iyer
127,235,delivery delay,low,pending,2023-01-29,2023-02-22,Priya Kaur
128,1060,damaged item,medium,open,2023-05-30,2023-06-11,David Johnson
129,2613,damaged item,medium,resolved,2024-10-19,2024-10-31,Kumar Iyer
130,2911,refund request,,resolved,2022-05-14,,Sarah Davis
131,1109,payment issue,medium,pending,2023-08-01,,Nor Rahman
132,386,refund request,low,pending,2023-10-20,,Ling Mei
133,373,damaged item,urgent,pending,2024-04-01,2024-04-17,Hafiz Rahman
134,315,delivery delay,low,open,2023-03-29,2023-04-08,Ling Mei
135,771,account issue,low,open,2024-10-17,2024-11-05,Kumar Iyer
136,2690,account issue,high,closed,2023-08-29,2023-09-28,Chris Davis
137,419,refund request,low,open,2024-01-24,,Tao Ming
138,1555,account issue,low,in progress,2023-05-29,2023-06-19,Jia Ming
139,447,delivery delay,medium,pending,2024-04-07,,Arjun Nair
140,2268,account issue,low,closed,2023-02-27,,Ahmad Abdullah
141,1565,payment issue,low,in progress,2022-01-20,,Siti Hassan
142,1132,damaged item,high,pending,2024-07-21,,Ahmad Hassan
143,991,damaged item,medium,in progress,2023-05-07,,Ahmad Abdullah
144,300,damaged item,medium,resolved,2022-11-02,,Tao Wong
145,1145,delivery delay,low,pending,2023-12-11,,Ahmad Rahman
146,1302,account issue,high,resolved,2023-05-29,,Swati Nair
147,2168,damaged item,low,closed,2024-01-03,2024-01-04,Sarah Brown
148,2272,payment issue,low,closed,2022-01-10,2022-01-28,Priya Kaur
149,2854,account issue,low,closed,2023-04-06,2023-05-03,Ravi Iyer
150,1348,account issue,medium,closed,2023-05-12,,Ravi Singh
151,2840,payment issue,medium,in progress,2022-04-17,,Ahmad Razak
152,398,payment issue,low,resolved,2022-10-03,2022-10-05,Aminah Razak
153,2361,account issue,high,in progress,2023-03-07,2023-04-03,Tao Ming
154,2880,refund request,high,closed,2023-09-19,2023-10-10,Hafiz Razak
155,1518,delivery delay,medium,pending,2023-11-09,2023-11-14,Chris Davis
156,2709,refund request,urgent,resolved,2023-01-05,2023-01-19,Hua Liang
157,1549,delivery delay,medium,closed,2023-05-08,,Ravi Iyer
158,2839,delivery delay,medium,in progress,2022-05-19,2022-06-15,Priya Kaur
159,2405,refund request,low,resolved,2023-06-03,2023-06-26,Ahmad Hassan
160,414,delivery delay,medium,closed,2023-10-21,,Jia Xiao
161,1840,account issue,low,pending,2023-08-06,2023-08-23,Jia Ming
162,2067,refund request,low,in progress,2023-03-15,,Jia Li
163,1341,damaged item,low,closed,2023-04-14,2023-04-14,Swati Nair
164,1030,delivery delay,high,closed,2022-02-21,2022-03-12,Arjun Iyer
165,1831,delivery delay,low,resolved,2022-07-29,2022-08-15,Chris Davis
166,273,payment issue,low,open,2023-01-25,,Ahmad Abdullah
167,2500,account issue,medium,in progress,2024-10-23,2024-11-12,Michael Brown
168,2585,account issue,medium,resolved,2024-03-18,,Ling Mei
169,553,damaged item,medium,open,2024-10-04,2024-10-14,Zul Abdullah
170,1273,payment issue,low,open,2023-09-23,2023-10-20,Nor Abdullah
171,335,account issue,medium,in progress,2024-09-23,2024-10-16,Ravi Iyer
172,183,damaged item,low,pending,2022-12-19,,Ravi Iyer
173,1952,account issue,medium,closed,2024-02-19,2024-03-01,Ling Chen
174,2013,delivery delay,medium,pending,2022-04-01,2022-04-30,Hua Chen
175,88,delivery delay,medium,in progress,2023-04-26,,Jia Liang
176,412,delivery delay,high,open,2024-05-08,2024-05-30,Jia Liang
177,1779,account issue,low,resolved,2023-12-07,,Wei Ming
178,1688,payment issue,medium,pending,2023-08-28,2023-09-27,Nor Razak
179,46,delivery delay,low,in progress,2022-04-03,2022-04-25,Michael Davis
180,1053,damaged item,medium,pending,2024-05-16,,Ahmad Rahman
181,2666,refund request,low,open,2024-05-28,2024-05-30,Tao Wong
182,1205,account issue,medium,pending,2023-12-05,,Arjun Nair
183,2677,damaged item,high,pending,2022-01-26,2022-02-13,Hafiz Rahman
184,1264,account issue,medium,open,2023-12-09,2023-12-10,Michael Brown
185,1671,delivery delay,low,resolved,2022-07-31,2022-08-20,Jia Xiao
186,599,damaged item,low,open,2022-04-24,,Laura Brown
187,1429,payment issue,low,in progress,2024-10-20,,Nor Razak
188,1242,delivery delay,low,in progress,2024-02-01,,Ahmad Hassan
189,936,refund request,medium,in progress,2022-06-21,2022-07-18,David Johnson
190,2615,delivery delay,low,in progress,2024-03-20,,Ling Chen
191,2253,delivery delay,low,pending,2022-06-13,,Hua Chen
192,557,refund request,low,open,2023-05-24,2023-06-05,Nor Rahman
193,2209,damaged item,low,pending,2023-12-11,,Ahmad Rahman
194,2481,delivery delay,urgent,open,2024-09-07,2024-09-08,Aminah Razak
195,578,account issue,medium,resolved,2024-09-09,2024-09-26,Ahmad Abdullah
196,742,delivery delay,high,open,2023-02-12,2023-03-02,Zul Abdullah
197,2383,account issue,high,resolved,2023-09-14,2023-09-17,Ahmad Rahman
198,1555,refund request,medium,resolved,2024-09-30,2024-10-30,Swati Nair
199,128,payment issue,medium,in progress,2023-09-20,2023-09-29,Ling Chen
200,998,account issue,high,resolved,2023-03-05,2023-03-22,Jia Xiao
201,814,delivery delay,low,in progress,2022-03-06,2022-03-21,Ling Mei
202,1318,account issue,medium,closed,2023-04-19,,Chris Davis
203,7,delivery delay,low,pending,2022-02-03,,Nor Hassan
204,1510,payment issue,high,resolved,2023-07-04,2023-07-13,Tao Mei
205,1308,delivery delay,urgent,closed,2023-01-31,,Tao Mei
206,1347,payment issue,high,pending,2023-08-10,,Michael Davis
207,2945,account issue,medium,resolved,2022-11-04,2022-11-30,Tao Ming
208,2891,delivery delay,medium,pending,2024-04-10,2024-05-08,Hua Chen
209,913,damaged item,low,closed,2024-03-16,2024-04-15,Sarah Davis
210,1734,damaged item,high,closed,2022-04-02,2022-04-16,Swati Nair
211,2067,payment issue,high,open,2023-05-10,2023-05-15,Ahmad Hassan
212,590,refund request,medium,resolved,2022-11-04,2022-12-04,Tao Chen
213,1555,damaged item,low,pending,2023-04-14,2023-04-20,Jia Liang
214,39,account issue,medium,pending,2024-04-19,2024-05-07,Hafiz Rahman
215,367,damaged item,low,in progress,2022-10-21,2022-11-02,Wei Ming
216,1824,refund request,medium,in progress,2024-04-08,,Swati Nair
217,40,damaged item,high,resolved,2022-04-18,2022-04-28,Emily Miller
218,500,refund request,medium,closed,2024-03-10,2024-03-30,Hafiz Ismail
219,42,account issue,low,closed,2022-09-29,2022-10-26,Sarah Brown
220,1829,damaged item,medium,open,2022-09-24,2022-10-01,Ahmad Razak
221,1464,delivery delay,medium,open,2023-07-28,,Tao Ming
222,2430,refund request,medium,resolved,2024-07-25,2024-08-17,Hafiz Razak
223,813,delivery delay,high,in progress,2022-08-06,2022-08-25,Ahmad Hassan
224,2789,refund request,low,open,2023-01-18,2023-02-14,Hafiz Rahman
225,106,damaged item,medium,open,2022-04-01,,Michael Davis
226,1897,delivery delay,low,resolved,2024-07-18,,Siti Hassan
227,1160,refund request,medium,resolved,2024-09-21,2024-10-08,Arjun Singh
228,248,account issue,high,pending,2023-10-20,2023-11-05,Ahmad Hassan
229,138,delivery delay,medium,resolved,2024-09-12,,Jia Liang
230,736,account issue,low,resolved,2023-12-04,2023-12-10,Tao Chen
231,1593,refund request,high,in progress,2024-02-25,2024-03-22,Nor Abdullah
232,496,payment issue,medium,pending,2023-09-27,2023-10-19,Michael Davis
233,403,delivery delay,low,resolved,2022-02-13,,David Johnson
234,2570,payment issue,medium,open,2024-04-02,2024-04-07,Hafiz Rahman
235,1372,delivery delay,high,closed,2023-06-01,,Tao Wong
236,1961,payment issue,medium,resolved,2022-11-11,2022-12-08,Michael Davis
237,1849,payment issue,low,pending,2023-10-16,2023-10-29,Nor Rahman
238,1906,refund request,medium,in progress,2024-06-03,,Ravi Singh
239,1280,damaged item,medium,in progress,2024-04-01,,Hafiz Rahman
240,496,refund request,high,resolved,2023-01-28,,David Johnson
241,260,account issue,low,pending,2024-06-05,,Ahmad Razak
242,2385,account issue,medium,pending,2023-04-21,2023-05-03,Hafiz Ismail
243,2680,damaged item,low,in progress,2023-08-29,2023-09-15,Jia Liang
244,1833,delivery delay,low,in progress,2023-11-16,,Jia Liang
245,2953,delivery delay,medium,resolved,2023-03-01,2023-03-18,Arjun Nair
246,1904,delivery delay,low,in progress,2023-12-05,2023-12-08,Ahmad Abdullah
247,1998,delivery delay,low,resolved,2024-07-12,,Hafiz Ismail
248,2401,delivery delay,medium,pending,2022-12-26,,Priya Kaur
249,2889,payment issue,medium,open,2022-09-22,,David Johnson
250,1919,account issue,medium,open,2023-01-17,,Aminah Razak
251,1078,delivery delay,low,pending,2022-06-05,2022-07-03,Ling Xiao
252,612,delivery delay,medium,closed,2023-04-05,2023-04-09,Arjun Iyer
253,1978,payment issue,low,in progress,2022-12-21,2022-12-27,Hafiz Ismail
254,2636,account issue,medium,closed,2022-12-10,,Jia Li
255,2868,damaged item,high,closed,2024-10-17,2024-11-14,Swati Nair
256,338,damaged item,medium,closed,2023-06-30,2023-07-16,Tao Ming
257,1529,damaged item,high,pending,2024-02-14,2024-03-08,Nor Razak
258,1235,damaged item,low,resolved,2023-04-11,2023-05-04,Jia Xiao
259,1226,account issue,low,resolved,2022-04-27,,Chris Davis
260,169,refund request,medium,resolved,2022-11-14,2022-12-02,Zul Abdullah
261,1419,delivery delay,medium,resolved,2024-08-23,2024-09-18,Ahmad Hassan
262,2484,damaged item,low,pending,2023-09-09,,Laura Brown
263,333,account issue,low,open,2024-02-28,2024-03-04,Sarah Davis
264,2490,damaged item,urgent,open,2022-02-10,2022-03-12,Chris Davis
265,2735,refund request,low,closed,2023-09-01,,Jia Liang
266,1670,delivery delay,medium,resolved,2023-10-13,,Jia Li
267,2226,refund request,high,pending,2023-06-12,2023-07-12,Tao Wong
268,1869,account issue,low,open,2023-03-24,2023-04-06,Sarah Brown
269,783,account issue,low,open,2022-07-09,2022-07-12,Hafiz Ismail
270,2809,delivery delay,medium,in progress,2024-05-20,2024-05-29,Sarah Miller
271,464,refund request,high,resolved,2022-03-10,2022-03-31,Michael Davis
272,48,delivery delay,medium,closed,2023-05-02,2023-05-28,Nor Razak
273,6,damaged item,urgent,in progress,2022-04-29,2022-05-23,Nor Rahman
274,736,delivery delay,medium,in progress,2023-08-21,2023-09-03,Ling Mei
275,254,delivery delay,medium,in progress,2022-02-08,2022-02-13,Arjun Iyer
276,68,refund request,low,pending,2024-02-17,2024-03-06,Michael Brown
277,1764,refund request,low,pending,2024-10-27,2024-11-10,David Johnson
278,1573,payment issue,high,resolved,2023-08-10,,Nor Abdullah
279,949,damaged item,high,pending,2022-01-01,2022-01-16,Ling Chen
280,865,damaged item,high,in progress,2022-08-30,2022-09-14,Hafiz Ismail
281,1358,payment issue,low,in progress,2022-02-21,,Tao Chen
282,2569,payment issue,low,open,2023-04-29,,Emily Miller
283,908,refund request,high,open,2024-03-12,2024-03-29,Chris Davis
284,897,damaged item,high,closed,2023-06-07,,Ravi Singh
285,235,damaged item,high,pending,2024-07-01,,David Johnson
286,1615,damaged item,high,pending,2022-03-22,2022-03-24,Jia Xiao
287,655,damaged item,medium,resolved,2023-05-24,2023-06-08,Wei Ming
288,1845,damaged item,urgent,open,2022-10-12,2022-10-17,Zul Abdullah
289,2304,delivery delay,high,pending,2022-10-26,2022-11-03,Nor Abdullah
290,828,delivery delay,high,pending,2023-04-22,2023-05-17,Arjun Iyer
291,1828,account issue,low,open,2022-05-21,2022-06-05,Kumar Iyer
292,2525,delivery delay,medium,closed,2022-08-15,2022-09-10,Ahmad Abdullah
293,2603,refund request,high,pending,2023-09-22,2023-10-04,Wei Ming
294,1426,refund request,high,closed,2023-09-05,2023-09-18,Nor Hassan
295,1572,refund request,medium,pending,2022-08-12,2022-08-30,Ahmad Abdullah
296,2869,account issue,medium,resolved,2024-09-27,2024-10-03,Sarah Brown
297,1787,delivery delay,low,resolved,2023-05-23,,Ling Xiao
298,1392,damaged item,low,open,2023-02-19,,Chris Davis
299,751,account issue,low,resolved,2023-01-02,2023-01-14,Arjun Singh
300,1728,damaged item,medium,pending,2023-05-04,2023-05-16,Ling Chen
301,1104,payment issue,low,pending,2023-03-16,,Jia Liang
302,1192,account issue,low,closed,2022-05-18,,Swati Nair
303,2092,account issue,medium,open,2022-10-10,2022-11-05,Chris Davis
304,2110,refund request,low,in progress,2022-08-19,2022-09-01,Arjun Iyer
305,1638,damaged item,medium,open,2023-08-12,2023-08-22,Nor Razak
306,1532,damaged item,high,pending,2022-03-07,2022-03-21,Sarah Davis
307,87,payment issue,low,resolved,2023-08-07,2023-08-25,Jia Liang
308,2134,delivery delay,medium,in progress,2023-09-19,,Ahmad Rahman
309,1125,delivery delay,high,in progress,2023-04-06,2023-04-12,Siti Hassan
310,1213,payment issue,medium,in progress,2024-04-09,2024-04-27,Ahmad Rahman
311,95,damaged item,low,resolved,2023-12-24,2023-12-27,Ravi Singh
312,621,delivery delay,high,resolved,2023-04-09,,Nor Abdullah
313,1160,account issue,medium,closed,2024-01-01,,Siti Hassan
314,245,delivery delay,medium,open,2023-02-28,2023-03-08,Hafiz Razak
315,898,refund request,medium,in progress,2023-04-13,2023-04-25,Priya Kaur
316,2566,refund request,medium,open,2024-06-22,2024-07-17,Siti Hassan
317,835,account issue,low,resolved,2022-04-11,2022-05-03,Chris Davis
318,1973,payment issue,high,closed,2022-11-02,2022-11-21,Jia Liang
319,2430,payment issue,low,in progress,2024-02-18,,Ravi Iyer
320,638,payment issue,low,open,2024-07-20,,Wei Ming
321,2395,refund request,medium,in progress,2022-11-04,,David Johnson
322,2018,payment issue,medium,in progress,2022-06-03,2022-06-05,Emily Miller
323,2566,payment issue,,resolved,2023-05-13,,Ravi Singh
324,2221,delivery delay,medium,resolved,2023-06-13,,Tao Ming
325,2532,account issue,medium,pending,2023-11-13,2023-11-16,Ahmad Abdullah
326,2026,delivery delay,urgent,in progress,2023-07-15,,Hafiz Razak
327,2108,payment issue,medium,closed,2022-04-17,,Laura Brown
328,1800,delivery delay,high,open,2022-01-13,2022-01-15,Hua Liang
329,559,refund request,low,pending,2022-03-13,2022-04-06,Nor Razak
330,1520,damaged item,,open,2024-03-02,2024-04-01,Aminah Razak
331,2807,damaged item,low,pending,2023-02-02,2023-02-26,Siti Hassan
332,1976,delivery delay,high,pending,2023-02-08,2023-03-04,Emily Miller
333,661,payment issue,medium,pending,2023-11-29,2023-12-16,Ahmad Rahman
334,663,account issue,medium,closed,2024-01-13,2024-02-01,Tao Wong
335,898,payment issue,low,in progress,2023-03-13,,Wei Ming
336,851,refund request,low,open,2023-06-04,2023-06-10,John Smith
337,2575,payment issue,low,open,2024-07-24,2024-08-19,Sarah Miller
338,266,delivery delay,medium,in progress,2023-04-24,2023-05-02,Laura Brown
339,329,account issue,medium,resolved,2023-12-10,2023-12-16,Sarah Miller
340,1411,refund request,medium,resolved,2022-09-06,,Arjun Nair
341,2995,damaged item,medium,closed,2024-05-07,2024-05-14,Jia Li
342,331,payment issue,low,open,2022-06-26,2022-06-27,Arjun Singh
343,2363,payment issue,high,in progress,2024-05-09,,Hafiz Ismail
344,412,delivery delay,medium,open,2023-12-20,2024-01-06,Ahmad Abdullah
345,2483,refund request,low,closed,2022-09-16,2022-09-17,Arjun Singh
346,1838,payment issue,medium,closed,2024-07-25,2024-08-16,Nor Rahman
347,2303,delivery delay,low,in progress,2023-01-24,2023-02-15,Arjun Singh
348,2498,account issue,medium,in progress,2022-06-25,,Kumar Iyer
349,2167,delivery delay,medium,in progress,2023-02-27,2023-03-11,Swati Singh
350,2707,damaged item,low,open,2024-10-29,2024-10-31,Hafiz Rahman
351,1791,damaged item,urgent,in progress,2023-12-31,,Jia Liang
352,1104,damaged item,medium,open,2022-07-08,2022-07-24,Swati Singh
353,1971,payment issue,low,closed,2024-01-06,2024-02-04,Tao Ming
354,250,payment issue,low,in progress,2022-12-11,2022-12-30,Chris Davis
355,1921,delivery delay,high,resolved,2022-12-14,2023-01-07,Hafiz Ismail
356,1805,refund request,medium,in progress,2024-07-01,2024-07-19,Jia Li
357,164,account issue,low,resolved,2022-11-20,2022-11-26,David Johnson
358,1620,delivery delay,high,in progress,2023-12-01,,Kumar Iyer
359,1073,damaged item,low,closed,2022-03-21,2022-04-03,Jia Li
360,2257,payment issue,low,open,2023-11-22,2023-11-30,Ling Xiao
361,1026,delivery delay,medium,pending,2023-03-11,2023-03-14,Hafiz Razak
362,1228,account issue,high,resolved,2023-12-13,2023-12-14,Sarah Brown
363,2019,refund request,medium,in progress,2024-05-11,2024-05-16,Hafiz Rahman
364,662,damaged item,medium,open,2023-11-14,2023-11-14,David Miller
365,1679,damaged item,low,pending,2022-04-13,,Aminah Razak
366,2818,payment issue,medium,closed,2022-12-22,2023-01-12,Hua Liang
367,2575,payment issue,medium,open,2022-05-24,2022-05-27,Arjun Iyer
368,1818,account issue,low,resolved,2024-05-25,2024-06-06,Nor Rahman
369,2767,refund request,low,pending,2023-09-11,2023-10-02,Laura Brown
370,2542,payment issue,high,open,2022-10-07,2022-10-26,Wei Ming
371,2466,delivery delay,medium,resolved,2023-04-24,2023-04-25,David Johnson
372,2920,payment issue,low,resolved,2023-12-26,2024-01-18,David Miller
373,110,damaged item,high,closed,2022-08-16,2022-08-28,Nor Hassan
374,396,refund request,medium,resolved,2023-06-16,2023-07-06,Michael Brown
375,2682,damaged item,low,closed,2024-04-03,,Kumar Iyer
376,1879,refund request,medium,resolved,2023-10-22,,Nor Razak
377,1217,delivery delay,urgent,resolved,2022-05-28,,Zul Abdullah
378,699,damaged item,medium,resolved,2024-10-09,2024-11-06,Ravi Singh
379,1781,account issue,low,open,2022-05-08,2022-06-07,Sarah Davis
380,2406,account issue,high,closed,2023-08-06,2023-08-19,Sarah Davis
381,1780,payment issue,low,closed,2022-09-30,,Nor Abdullah
382,256,delivery delay,medium,pending,2023-05-25,2023-06-07,Ling Chen
383,2012,delivery delay,low,in progress,2024-08-07,2024-08-28,Ahmad Hassan
384,2492,payment issue,medium,closed,2023-06-04,2023-06-25,Jia Ming
385,293,damaged item,high,resolved,2023-07-26,2023-08-20,Ahmad Abdullah
386,170,refund request,high,open,2024-03-16,2024-03-29,David Miller
387,1047,damaged item,medium,resolved,2022-11-15,2022-12-07,David Miller
388,2913,payment issue,low,in progress,2023-12-09,,Tao Wong
389,1441,payment issue,high,open,2022-09-30,2022-10-01,Sarah Miller
390,2981,account issue,low,open,2022-09-14,,Michael Davis
391,881,payment issue,low,open,2023-09-08,,Tao Wong
392,2755,delivery delay,high,open,2024-03-18,2024-04-08,Ling Chen
393,2832,refund request,low,in progress,2024-10-13,2024-10-25,Ahmad Abdullah
394,580,delivery delay,medium,open,2023-01-24,2023-01-26,Arjun Singh
395,443,damaged item,low,closed,2022-01-14,,Sarah Miller
396,1982,delivery delay,low,closed,2022-09-13,2022-09-18,Michael Brown
